date,total_clones,unique_clones
2022-08-12,1,1
2022-08-13,1,1
2022-08-14,0,0
2022-08-15,0,0
2022-08-16,0,0
2022-08-17,0,0
2022-08-18,0,0
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,1,1
2022-08-25,22,9
2022-08-26,2,2
2022-08-27,8,5
2022-08-28,1,1
2022-08-29,1,1
2022-08-30,1,1
2022-08-31,1,1
2022-09-01,1,1
2022-09-02,2,2
2022-09-03,1,1
2022-09-04,1,1
2022-09-05,1,1
2022-09-06,1,1
2022-09-07,3,3
2022-09-08,2,2
2022-09-09,1,1
2022-09-10,2,2
2022-09-11,2,2
2022-09-12,3,3
2022-09-13,3,3
2022-09-14,2,2
2022-09-15,2,2
2022-09-16,2,2
2022-09-17,4,4
2022-09-18,2,2
2022-09-19,2,2
2022-09-20,0,0
